Product_Title,Price,Shop_Name,Category,Availability,G-Price
HAVIT KB866L MULTI-FUNCTION RGB BACKLIT MEMBRANE GAMING KEYBOARD,900,STARTECH,Keyboard,In Stock,900
HAVIT HV-KB419L RGB USB GAMING KEYBOARD,900,STARTECH,Keyboard,In Stock,900
MSI VIGOR GK30 RGB GAMING KEYBOARD,3500,Skyland,Keyboard,In Stock,3500
WALTON WKM001WB SEMI-MECHANICAL KEYBOARD,2350,Skyland,Keyboard,In Stock,2350
WALTON WKG001WB PRO BACKLIT GAMING KEYBOARD,950,Skyland,Keyboard,In Stock,950
FANTECH K613 PROFESSIONAL USB GAMING KEYBOARD,1700,Skyland,Keyboard,In Stock,1700
BAJEAL K100 TKL RGB MECHANICAL GAMING KEYBOARD (BLACK),2500,Skyland,Keyboard,In Stock,2500
ROYAL KLUDGE RK61 DUAL MODE RGB MECHANICAL KEYBOARD (HUANO SWITCH),3599,Skyland,Keyboard,In Stock,3599
ROYAL KLUDGE RK84 TRI MODE RGB WIRELESS MECHANICAL KEYBOARD (HUANO SWITCH),4900,Skyland,Keyboard,In Stock,4900
IMICE AN-300 GAMING KEYBOARD & MOUSE COMBO,1105,Skyland,Keyboard,In Stock,1105
AULA F2058 RGB MECHANICAL GAMING KEYBOARD,3220,Skyland,Keyboard,In Stock,3220
HAVIT GAMENOTE KB500L MULTI-FUNCTION LED BACKLIT USB GAMING KEYBOARD (BLACK),950,Skyland,Keyboard,In Stock,950
REDRAGON K551RGB MITRA RGB BACKLIT BLUE SWITCHES MECHANICAL KEYBOARD,3700,Skyland,Keyboard,In Stock,3700
HAVIT HV-KB492L RGB BACKLIT MECHANICAL GAMING KEYBOARD,3250,Skyland,Keyboard,In Stock,3250
DAREU EK87 MECHANICAL GAMING KEYBOARD (BLACK),2750,Skyland,Keyboard,In Stock,2750
WALTON WKG006WB HIGH PRECISION GAMING KEYBOARD,950,Skyland,Keyboard,In Stock,950
WALTON WKG003WB HIGH PRECISION GAMING KEYBOARD,950,Skyland,Keyboard,In Stock,950
FANTECH G13 RHASTA II PRO GAMING MOUSE,600,Skyland,Keyboard,In Stock,600
RAPOO E2710 WIRELESS BLACK KEYBOARD WITH TOUCH-PAD,3520,RYANS,Keyboard,In Stock,3520
REDRAGON K568 RGB DARK AVENGER (BLUE SWITCH) BLACK GAMING KEYBOARD,3600,RYANS,Keyboard,In Stock,3600
ROYAL KLUDGE RK61 DUAL MODE RGB HOT SWAP (BLUE SWITCH) WHITE MECHANICAL GAMING KEYBOARD,3750,RYANS,Keyboard,In Stock,3750
ROYAL KLUDGE RK61 DUAL MODE RGB HOT SWAP (RED SWITCH) WHITE MECHANICAL GAMING KEYBOARD,3750,RYANS,Keyboard,In Stock,3750
LOGITECH K480 BLUETOOTH MULTI DEVICE WHITE KEYBOARD,3799,RYANS,Keyboard,In Stock,3799
LOGITECH K480 BLUETOOTH MULTI DEVICE BLACK KEYBOARD,3799,RYANS,Keyboard,In Stock,3799
REDRAGON K631 CASTOR RGB (RED SWITCH) BLACK GAMING KEYBOARD,3850,RYANS,Keyboard,In Stock,3850
ROYAL KLUDGE RK61 TRI MODE RGB HOT SWAP WHITE GAMING KEYBOARD,3975,RYANS,Keyboard,In Stock,3975
ROYAL KLUDGE RK61 TRI MODE RGB HOT SWAP (BLUE SWITCH) BLACK MECHANICAL GAMING KEYBOARD,3975,RYANS,Keyboard,In Stock,3975
ROYAL KLUDGE RK61 TRI MODE RGB HOT SWAP (RED SWITCH) BLACK MECHANICAL GAMING KEYBOARD,3975,RYANS,Keyboard,In Stock,3975
ROYAL KLUDGE RK61 TRI MODE RGB HOT SWAP (BLUE SWITCH) WHITE MECHANICAL GAMING KEYBOARD,3975,RYANS,Keyboard,In Stock,3975
ROYAL KLUDGE RK61 TRI MODE RGB HOT SWAP (BROWN SWITCH) BLACK MECHANICAL GAMING KEYBOARD,3975,RYANS,Keyboard,In Stock,3975
GAMDIAS HERMES E2 7 COLOR BACKLIT BROWN SWITCH WIRED BLACK GAMING KEYBOARD,4050,RYANS,Keyboard,In Stock,4050
REDRAGON K628 POLLUX RGB (RED SWITCH) BLACK WIRED GAMING KEYBOARD,4100,RYANS,Keyboard,In Stock,4100
ROYAL KLUDGE RK71 DUAL MODE RGB HOT SWAP (RED SWITCH) WHITE MECHANICAL GAMING KEYBOARD,4300,RYANS,Keyboard,In Stock,4300
ROYAL KLUDGE RK71 DUAL MODE RGB HOT SWAP (BLUE SWITCH) WHITE MECHANICAL GAMING KEYBOARD,4300,RYANS,Keyboard,In Stock,4300
ROYAL KLUDGE RK71 DUAL MODE RGB HOT SWAP (BROWN SWITCH) WHITE MECHANICAL GAMING KEYBOARD,4300,RYANS,Keyboard,In Stock,4300
ROYAL KLUDGE RK71 DUAL MODE RGB HOT SWAP (RED SWITCH) BLACK MECHANICAL GAMING KEYBOARD,4300,RYANS,Keyboard,In Stock,4300
ROYAL KLUDGE RK71 DUAL MODE RGB HOT SWAP (BLUE SWITCH) BLACK MECHANICAL GAMING KEYBOARD,4300,RYANS,Keyboard,In Stock,4300
ROYAL KLUDGE RK71 DUAL MODE RGB HOT SWAP (BROWN SWITCH) BLACK MECHANICAL GAMING KEYBOARD,4300,RYANS,Keyboard,In Stock,4300
HYPERX ALLOY CORE RGB GAMING KEYBOARD,4500,COMPUTER VILLAGE,Keyboard,In Stock,4500
HYPERX ALLOY FPS PRO MECHANICAL GAMING KEYBOARD,7600,COMPUTER VILLAGE,Keyboard,In Stock,7600
